COMPUESTO,Fórmula,Nomenclatura Tradicional,Nomenclatura de Stock,Nomenclatura Sistemática
Oxosal Ácida,Zn(HCO₃)₂,Carbonato ácido de cinc,Hidrogenocarbonato de cinc,Bis[hidrogenotrioxocarbonato (IV)] de zinc
Oxosal Ácida,ZnHPO₄,Fosfato ácido de cinc,Hidrogenofosfato de cinc,Hidrogenotetraoxofosfato (V) de zinc
Oxosal Ácida,Zn(HCrO₄)₂,Cromato ácido de cinc,Hidrogenocromato de cinc,Bis[hidrogenotetraoxocromato (VI)] de zinc
Oxosal Ácida,Co(HSO₃)₂,Sulfito ácido cobaltoso,Hidrogenosulfito de cobalto (II),Bis[hidrogenotrioxosulfato (IV)] de cobalto (II)
Oxosal Ácida,Co(HSO₄)₂,Sulfato ácido cobaltoso,Hidrogenosulfato de cobalto (II),Bis[hidrogenotetraoxosulfato (VI)] de cobalto (II)
Oxosal Ácida,Co(HCO₃)₂,Carbonato ácido cobaltoso,Hidrogenocarbonato de cobalto (II),Bis[hidrogenotrioxocarbonato (IV)] de cobalto (II)
Oxosal Ácida,CoHPO₄,Fosfato ácido cobaltoso,Hidrogenofosfato de cobalto (II),Hidrogenotetraoxofosfato (V) de cobalto (II)
Oxosal Ácida,Co(HSO₃)₃,Sulfito ácido cobáltico,Hidrogenosulfito de cobalto (III),Tris[hidrogenotrioxosulfato (IV)] de cobalto (III)
Oxosal Ácida,Co(HSO₄)₃,Sulfato ácido cobáltico,Hidrogenosulfato de cobalto (III),Tris[hidrogenotetraoxosulfato (VI)] de cobalto (III)
Oxosal Ácida,Co(H₂PO₄)₃,Fosfato diácido cobáltico,Dihidrogenofosfato de cobalto (III),Tris[dihidrogenotetraoxofosfato (V)] de cobalto (III)
Oxosal Ácida,CuHSO₃,Sulfito ácido cuproso,Hidrogenosulfito de cobre (I),Hidrogenotrioxosulfato (IV) de cobre (I)
Oxosal Ácida,CuHSO₄,Sulfato ácido cuproso,Hidrogenosulfato de cobre (I),Hidrogenotetraoxosulfato (VI) de cobre (I)
Oxosal Ácida,CuHCO₃,Carbonato ácido cuproso,Hidrogenocarbonato de cobre (I),Hidrogenotrioxocarbonato (IV) de cobre (I)
Oxosal Ácida,CuH₂PO₄,Fosfato diácido cuproso,Dihidrogenofosfato de cobre (I),Dihidrogenotetraoxofosfato (V) de cobre (I)
Oxosal Ácida,CuHCrO₄,Cromato ácido cuproso,Hidrogenocromato de cobre (I),Hidrogenotetraoxocromato (VI) de cobre (I)
Oxosal Ácida,Cu(HSO₃)₂,Sulfito ácido cúprico,Hidrogenosulfito de cobre (II),Bis[hidrogenotrioxosulfato (IV)] de cobre (II)
Oxosal Ácida,Cu(HSO₄)₂,Sulfato ácido cúprico,Hidrogenosulfato de cobre (II),Bis[hidrogenotetraoxosulfato (VI)] de cobre (II)
Oxosal Ácida,Cu(HCO₃)₂,Carbonato ácido cúprico,Hidrogenocarbonato de cobre (II),Bis[hidrogenotrioxocarbonato (IV)] de cobre (II)
Oxosal Ácida,CuHPO₄,Fosfato ácido cúprico,Hidrogenofosfato de cobre (II),Hidrogenotetraoxofosfato (V) de cobre (II)
Oxosal Ácida,Cu(HCr₂O₇)₂,Dicromato ácido cúprico,Hidrogenodicromato de cobre (II),Bis[hidrogenoheptaoxodicromato (VI)] de cobre (II)
Oxosal Ácida,Cr(HSO₄)₂,Sulfato ácido cromoso,Hidrogenosulfato de cromo (II),Bis[hidrogenotetraoxosulfato (VI)] de cromo (II)
Oxosal Ácida,CrHPO₄,Fosfato ácido cromoso,Hidrogenofosfato de cromo (II),Hidrogenotetraoxofosfato (V) de cromo (II)
Oxosal Ácida,Cr(HSO₄)₃,Sulfato ácido crómico,Hidrogenosulfato de cromo (III),Tris[hidrogenotetraoxosulfato (VI)] de cromo (III)
Oxosal Ácida,Cr(H₂PO₄)₃,Fosfato diácido crómico,Dihidrogenofosfato de cromo (III),Tris[dihidrogenotetraoxofosfato (V)] de cromo (III)
Oxosal Ácida,Sc(HSO₄)₃,Sulfato ácido de escandio,Hidrogenosulfato de escandio,Tris[hidrogenotetraoxosulfato (VI)] de escandio
Oxosal Ácida,Sc(H₂PO₄)₃,Fosfato diácido de escandio,Dihidrogenofosfato de escandio,Tris[dihidrogenotetraoxofosfato (V)] de escandio
Oxosal Ácida,Sn(HSO₄)₂,Sulfato ácido estannoso,Hidrogenosulfato de estaño (II),Bis[hidrogenotetraoxosulfato (VI)] de estaño (II)
Oxosal Ácida,SnHPO₄,Fosfato ácido estannoso,Hidrogenofosfato de estaño (II),Hidrogenotetraoxofosfato (V) de estaño (II)
Oxosal Ácida,Sn(HSO₄)₄,Sulfato ácido estárnico,Hidrogenosulfato de estaño (IV),Tetrakis[hidrogenotetraoxosulfato (VI)] de estaño (IV)
Oxosal Ácida,Sn(H₂PO₄)₄,Fosfato diácido estárnico,Dihidrogenofosfato de estaño (IV),Tetrakis[dihidrogenotetraoxofosfato (V)] de estaño (IV)
Oxosal Ácida,Sr(HSO₄)₂,Sulfato ácido de estroncio,Hidrogenosulfato de estroncio,Bis[hidrogenotetraoxosulfato (VI)] de estroncio
Oxosal Ácida,Sr(HCO₃)₂,Carbonato ácido de estroncio,Hidrogenocarbonato de estroncio,Bis[hidrogenotrioxocarbonato (IV)] de estroncio
Oxosal Ácida,SrHPO₄,Fosfato ácido de estroncio,Hidrogenofosfato de estroncio,Hidrogenotetraoxofosfato (V) de estroncio
Oxosal Ácida,SrHAsO₄,Arseniato ácido de estroncio,Hidrogenoarseniato de estroncio,Hidrogenotetraoxoarseniato (V) de estroncio
Oxosal Ácida,FrHSO₄,Sulfato ácido de francio,Hidrogenosulfato de francio,Hidrogenotetraoxosulfato (VI) de francio
Oxosal Ácida,FrH₂PO₄,Fosfato diácido de francio,Dihidrogenofosfato de francio,Dihidrogenotetraoxofosfato (V) de francio
Oxosal Ácida,FrHCr₂O₇,Dicromato ácido de francio,Hidrogenodicromato de francio,Hidrogenoheptaoxodicromato (VI) de francio
Oxosal Ácida,Ga(HSO₄)₃,Sulfato ácido de galio,Hidrogenosulfato de galio,Tris[hidrogenotetraoxosulfato (VI)] de galio
Oxosal Ácida,Ga(H₂PO₄)₃,Fosfato diácido de galio,Dihidrogenofosfato de galio,Tris[dihidrogenotetraoxofosfato (V)] de galio
Oxosal Ácida,Fe(HSO₄)₂,Sulfato ácido ferroso,Hidrogenosulfato de hierro (II),Bis[hidrogenotetraoxosulfato (VI)] de hierro (II)
Oxosal Ácida,Fe(HCO₃)₂,Carbonato ácido ferroso,Hidrogenocarbonato de hierro (II),Bis[hidrogenotrioxocarbonato (IV)] de hierro (II)
Oxosal Ácida,Fe(HCrO₄)₂,Cromato ácido ferroso,Hidrogenocromato de hierro (II),Bis[hidrogenotetraoxocromato (VI)] de hierro (II)
Oxosal Ácida,Fe(HSO₄)₃,Sulfato ácido férrico,Hidrogenosulfato de hierro (III),Tris[hidrogenotetraoxosulfato (VI)] de hierro (III)
Oxosal Ácida,Fe(H₂AsO₄)₃,Arseniato diácido férrico,Dihidrogenoarseniato de hierro (III),Tris[dihidrogenotetraoxoarseniato (V)] de hierro (III)
Oxosal Ácida,In(HSO₄)₃,Sulfato ácido de indio,Hidrogenosulfato de indio,Tris[hidrogenotetraoxosulfato (VI)] de indio
Oxosal Ácida,LiHSO₄,Sulfato ácido de litio,Hidrogenosulfato de litio,Hidrogenotetraoxosulfato (VI) de litio
Oxosal Ácida,LiHCO₃,Carbonato ácido de litio,Hidrogenocarbonato de litio,Hidrogenotrioxocarbonato (IV) de litio
Oxosal Ácida,LiH₂PO₄,Fosfato diácido de litio,Dihidrogenofosfato de litio,Dihidrogenotetraoxofosfato (V) de litio
Oxosal Ácida,Mg(HSO₄)₂,Sulfato ácido de magnesio,Hidrogenosulfato de magnesio,Bis[hidrogenotetraoxosulfato (VI)] de magnesio
Oxosal Ácida,Hg₂(HSO₄)₂,Sulfato ácido mercurioso,Hidrogenosulfato de mercurio (I),Bis[hidrogenotetraoxosulfato (VI)] de dimercurio
Oxosal Ácida,Hg₂(H₂PO₄)₂,Fosfato diácido mercurioso,Dihidrogenofosfato de mercurio (I),Bis[dihidrogenotetraoxofosfato (V)] de dimercurio
Oxosal Ácida,Hg₂(HCr₂O₇)₂,Dicromato ácido mercurioso,Hidrogenodicromato de mercurio (I),Bis[hidrogenoheptaoxodicromato (VI)] de dimercurio
Oxosal Ácida,Hg(HSO₄)₂,Sulfato ácido mercúrico,Hidrogenosulfato de mercurio (II),Bis[hidrogenotetraoxosulfato (VI)] de mercurio
Oxosal Ácida,Ni(HSO₄)₂,Sulfato ácido niqueloso,Hidrogenosulfato de níquel (II),Bis[hidrogenotetraoxosulfato (VI)] de níquel
Oxosal Ácida,NiHPO₄,Fosfato ácido niqueloso,Hidrogenofosfato de níquel (II),Hidrogenotetraoxofosfato (V) de níquel
Oxosal Ácida,Ni(HCrO₄)₂,Cromato ácido niqueloso,Hidrogenocromato de níquel (II),Bis[hidrogenotetraoxocromato (VI)] de níquel
Oxosal Ácida,Ni(HSO₄)₃,Sulfato ácido niquélico,Hidrogenosulfato de níquel (III),Tris[hidrogenotetraoxosulfato (VI)] de níquel
Oxosal Ácida,AuHSO₄,Sulfato ácido auroso,Hidrogenosulfato de oro (I),Hidrogenotetraoxosulfato (VI) de oro
Oxosal Ácida,AuH₂AsO₄,Arseniato diácido auroso,Dihidrogenoarseniato de oro (I),Dihidrogenotetraoxoarseniato (V) de oro
Oxosal Ácida,Au(HSO₄)₃,Sulfato ácido áurico,Hidrogenosulfato de oro (III),Tris[hidrogenotetraoxosulfato (VI)] de oro
Oxosal Ácida,Au(H₂PO₄)₃,Fosfato diácido áurico,Dihidrogenofosfato de oro (III),Tris[dihidrogenotetraoxofosfato (V)] de oro
Oxosal Ácida,Pd(H₂PO₄)₂,Fosfato diácido de paladio (II),Dihidrogenofosfato de paladio (II),Bis[dihidrogenotetraoxofosfato (V)] de paladio (II)
Oxosal Ácida,Pd(HCrO₄)₂,Cromato ácido de paladio (II),Hidrogenocromato de paladio (II),Bis[hidrogenotetraoxocromato (VI)] de paladio (II)
Oxosal Ácida,Pd(HSO₄)₄,Sulfato ácido de paladio (IV),Hidrogenosulfato de paladio (IV),Tetrakis[hidrogenotetraoxosulfato (VI)] de paladio (IV)
Oxosal Ácida,AgHSO₄,Sulfato ácido de plata,Hidrogenosulfato de plata,Hidrogenotetraoxosulfato (VI) de plata
Oxosal Ácida,AgH₂PO₄,Fosfato diácido de plata,Dihidrogenofosfato de plata,Dihidrogenotetraoxofosfato (V) de plata
Oxosal Ácida,AgHCr₂O₇,Dicromato ácido de plata,Hidrogenodicromato de plata,Hidrogenoheptaoxodicromato (VI) de plata
Oxosal Ácida,Pt(HCO₃)₂,Carbonato ácido platinoso,Hidrogenocarbonato de platino (II),Bis[hidrogenotrioxocarbonato (IV)] de platino (II)
Oxosal Ácida,Pt(H₂AsO₄)₂,Arseniato diácido platinoso,Dihidrogenoarseniato de platino (II),Bis[dihidrogenotetraoxoarseniato (V)] de platino (II)
Oxosal Ácida,Pt(HSO₄)₄,Sulfato ácido platínico,Hidrogenosulfato de platino (IV),Tetrakis[hidrogenotetraoxosulfato (VI)] de platino (IV)
Oxosal Ácida,Pt(H₂PO₄)₄,Fosfato diácido platínico,Dihidrogenofosfato de platino (IV),Tetrakis[dihidrogenotetraoxofosfato (V)] de platino (IV)
Oxosal Ácida,Pt(HCrO₄)₄,Cromato ácido platínico,Hidrogenocromato de platino (IV),Tetrakis[hidrogenotetraoxocromato (VI)] de platino (IV)
Oxosal Ácida,Pb(HSO₄)₂,Sulfato ácido plumboso,Hidrogenosulfato de plomo (II),Bis[hidrogenotetraoxosulfato (VI)] de plomo (II)
Oxosal Ácida,Pb(HCrO₄)₂,Cromato ácido plumboso,Hidrogenocromato de plomo (II),Bis[hidrogenotetraoxocromato (VI)] de plomo (II)
Oxosal Ácida,Pb(HSO₄)₄,Sulfato ácido plúmbico,Hidrogenosulfato de plomo (IV),Tetrakis[hidrogenotetraoxosulfato (VI)] de plomo (IV)
Oxosal Ácida,Pb(H₂PO₄)₄,Fosfato diácido plúmbico,Dihidrogenofosfato de plomo (IV),Tetrakis[dihidrogenotetraoxofosfato (V)] de plomo (IV)
Oxosal Ácida,KHSO₄,Sulfato ácido de potasio,Hidrogenosulfato de potasio,Hidrogenotetraoxosulfato (VI) de potasio
Oxosal Ácida,Ra(HSO₄)₂,Sulfato ácido de radio,Hidrogenosulfato de radio,Bis[hidrogenotetraoxosulfato (VI)] de radio
Oxosal Ácida,RaHPO₄,Fosfato ácido de radio,Hidrogenofosfato de radio,Hidrogenotetraoxofosfato (V) de radio
Oxosal Ácida,RbHSO₄,Sulfato ácido de rubidio,Hidrogenosulfato de rubidio,Hidrogenotetraoxosulfato (VI) de rubidio
Oxosal Ácida,RbH₂AsO₄,Arseniato diácido de rubidio,Dihidrogenoarseniato de rubidio,Dihidrogenotetraoxoarseniato (V) de rubidio
Oxosal Ácida,NaHSO₄,Sulfato ácido de sodio,Hidrogenosulfato de sodio,Hidrogenotetraoxosulfato (VI) de sodio
Oxosal Ácida,NaHCO₃,Carbonato ácido de sodio,Hidrogenocarbonato de sodio,Hidrogenotrioxocarbonato (IV) de sodio
Oxosal Ácida,NaHB₄O₇,Tetraborato ácido de sodio,Hidrogenotetraborato de sodio,Hidrogenoheptaoxotetraborato (III) de sodio
Oxosal Ácida,TlH₂PO₄,Fosfato diácido talioso,Dihidrogenofosfato de talio (I),Dihidrogenotetraoxofosfato (V) de talio (I)
Oxosal Ácida,Tl(HSO₄)₃,Sulfato ácido tálico,Hidrogenosulfato de talio (III),Tris[hidrogenotetraoxosulfato (VI)] de talio (III)
Oxosal Ácida,Tl(H₂AsO₄)₃,Arseniato diácido tálico,Dihidrogenoarseniato de talio (III),Tris[dihidrogenotetraoxoarseniato (V)] de talio (III)
Oxosal Ácida,Tl(HCrO₄)₃,Cromato ácido tálico,Hidrogenocromato de talio (III),Tris[hidrogenotetraoxocromato (VI)] de talio (III)
Oxosal Ácida,Ti(HSO₄)₂,Sulfato ácido de titanio (II),Hidrogenosulfato de titanio (II),Bis[hidrogenotetraoxosulfato (VI)] de titanio (II)
Oxosal Ácida,TiHPO₄,Fosfato ácido de titanio (II),Hidrogenofosfato de titanio (II),Hidrogenotetraoxofosfato (V) de titanio (II)
Oxosal Ácida,Ti(HSO₄)₄,Sulfato ácido de titanio (IV),Hidrogenosulfato de titanio (IV),Tetrakis[hidrogenotetraoxosulfato (VI)] de titanio (IV)
Oxosal Ácida,V(HSO₄)₂,Sulfato ácido hipovanadoso,Hidrogenosulfato de vanadio (II),Bis[hidrogenotetraoxosulfato (VI)] de vanadio (II)
Oxosal Ácida,VHPO₄,Fosfato ácido hipovanadoso,Hidrogenofosfato de vanadio (II),Hidrogenotetraoxofosfato (V) de vanadio (II)
Oxosal Ácida,V(HSO₄)₃,Sulfato ácido vanadoso,Hidrogenosulfato de vanadio (III),Tris[hidrogenotetraoxosulfato (VI)] de vanadio (III)
Oxosal Ácida,V(H₂AsO₄)₃,Arseniato diácido vanadoso,Dihidrogenoarseniato de vanadio (III),Tris[dihidrogenotetraoxoarseniato (V)] de vanadio (III)
Oxosal Ácida,V(HCrO₄)₃,Cromato ácido vanadoso,Hidrogenocromato de vanadio (III),Tris[hidrogenotetraoxocromato (VI)] de vanadio (III)
Oxosal Ácida,V(H₂PO₄)₄,Fosfato diácido de vanadio (IV),Dihidrogenofosfato de vanadio (IV),Tetrakis[dihidrogenotetraoxofosfato (V)] de vanadio (IV)
Oxosal Ácida,V(H₂PO₄)₅,Fosfato diácido de vanadio (V),Dihidrogenofosfato de vanadio (V),Pentakis[dihidrogenotetraoxofosfato (V)] de vanadio (V)
Sal ácida,Ti(HS)₂,Sulfuro ácido hipotitanioso,Hidrogenosulfuro de titanio(II),Bis(hidrogenosulfuro) de titanio
Sal ácida,AgHS,Sulfuro ácido argéntico,Hidrogenosulfuro de plata,Hidrogenosulfuro de plata
Sal ácida,AuHS,Sulfuro ácido auroso,Hidrogenosulfuro de oro(I),Hidrogenosulfuro de oro
Sal ácida,CsHS,Sulfuro ácido césico,Hidrogenosulfuro de cesio,Hidrogenosulfuro de cesio
Sal ácida,CuHS,Sulfuro ácido cuproso,Hidrogenosulfuro de cobre(I),Hidrogenosulfuro de cobre
Sal ácida,FrHS,Sulfuro ácido fráncico,Hidrogenosulfuro de francio,Hidrogenosulfuro de francio
Sal ácida,Hg₂(HS)₂,Sulfuro ácido mercurioso,Hidrogenosulfuro de mercurio(I),Bis(hidrogenosulfuro) de dimercurio
Sal ácida,KHS,Sulfuro ácido potásico,Hidrogenosulfuro de potasio,Hidrogenosulfuro de potasio
Sal ácida,LiHS,Sulfuro ácido lítico,Hidrogenosulfuro de litio,Hidrogenosulfuro de litio
Sal ácida,NaHS,Sulfuro ácido sódico,Hidrogenosulfuro de sodio,Hidrogenosulfuro de sodio
Sal ácida,RbHS,Sulfuro ácido rubídico,Hidrogenosulfuro de rubidio,Hidrogenosulfuro de rubidio
Sal ácida,TlHS,Sulfuro ácido talioso,Hidrogenosulfuro de talio(I),Hidrogenosulfuro de talio
Sal ácida,Ba(HS)₂,Sulfuro ácido bárico,Hidrogenosulfuro de bario,Bis(hidrogenosulfuro) de bario
Sal ácida,Be(HS)₂,Sulfuro ácido berílico,Hidrogenosulfuro de berilio,Bis(hidrogenosulfuro) de berilio
Sal ácida,Ca(HS)₂,Sulfuro ácido cálcico,Hidrogenosulfuro de calcio,Bis(hidrogenosulfuro) de calcio
Sal ácida,Cd(HS)₂,Sulfuro ácido cádmico,Hidrogenosulfuro de cadmio,Bis(hidrogenosulfuro) de cadmio
Sal ácida,Co(HS)₂,Sulfuro ácido cobaltoso,Hidrogenosulfuro de cobalto(II),Bis(hidrogenosulfuro) de cobalto
Sal ácida,Cr(HS)₂,Sulfuro ácido cromoso,Hidrogenosulfuro de cromo(II),Bis(hidrogenosulfuro) de cromo
Sal ácida,Cu(HS)₂,Sulfuro ácido cúprico,Hidrogenosulfuro de cobre(II),Bis(hidrogenosulfuro) de cobre
Sal ácida,Fe(HS)₂,Sulfuro ácido ferroso,Hidrogenosulfuro de hierro(II),Bis(hidrogenosulfuro) de hierro
Sal ácida,Hg(HS)₂,Sulfuro ácido mercúrico,Hidrogenosulfuro de mercurio(II),Bis(hidrogenosulfuro) de mercurio
Sal ácida,Mg(HS)₂,Sulfuro ácido magnésico,Hidrogenosulfuro de magnesio,Bis(hidrogenosulfuro) de magnesio
Sal ácida,Mn(HS)₂,Sulfuro ácido manganoso,Hidrogenosulfuro de manganeso(II),Bis(hidrogenosulfuro) de manganeso
Sal ácida,Ni(HS)₂,Sulfuro ácido niqueloso,Hidrogenosulfuro de níquel(II),Bis(hidrogenosulfuro) de níquel
Sal ácida,Pb(HS)₂,Sulfuro ácido plumboso,Hidrogenosulfuro de plomo(II),Bis(hidrogenosulfuro) de plomo
Sal ácida,Pd(HS)₂,Sulfuro ácido paladioso,Hidrogenosulfuro de paladio(II),Bis(hidrogenosulfuro) de paladio
Sal ácida,Pt(HS)₂,Sulfuro ácido platinoso,Hidrogenosulfuro de platino(II),Bis(hidrogenosulfuro) de platino
Sal ácida,Ra(HS)₂,Sulfuro ácido radico,Hidrogenosulfuro de radio,Bis(hidrogenosulfuro) de radio
Sal ácida,Sn(HS)₂,Sulfuro ácido estannoso,Hidrogenosulfuro de estaño(II),Bis(hidrogenosulfuro) de estaño
Sal ácida,Sr(HS)₂,Sulfuro ácido estróntico,Hidrogenosulfuro de estroncio,Bis(hidrogenosulfuro) de estroncio
Sal ácida,V(HS)₂,Sulfuro ácido hipovanadoso,Hidrogenosulfuro de vanadio(II),Bis(hidrogenosulfuro) de vanadio
Sal ácida,Zn(HS)₂,Sulfuro ácido cíncico,Hidrogenosulfuro de cinc,Bis(hidrogenosulfuro) de cinc
Sal ácida,Al(HS)₃,Sulfuro ácido alumínico,Hidrogenosulfuro de aluminio,Tris(hidrogenosulfuro) de aluminio
Sal ácida,Au(HS)₃,Sulfuro ácido áurico,Hidrogenosulfuro de oro(III),Tris(hidrogenosulfuro) de oro
Sal ácida,Co(HS)₃,Sulfuro ácido cobáltico,Hidrogenosulfuro de cobalto(III),Tris(hidrogenosulfuro) de cobalto
Sal ácida,Cr(HS)₃,Sulfuro ácido crómico,Hidrogenosulfuro de cromo(III),Tris(hidrogenosulfuro) de cromo
Sal ácida,Fe(HS)₃,Sulfuro ácido férrico,Hidrogenosulfuro de hierro(III),Tris(hidrogenosulfuro) de hierro
Sal ácida,Ga(HS)₃,Sulfuro ácido gálico,Hidrogenosulfuro de galio,Tris(hidrogenosulfuro) de galio
Sal ácida,In(HS)₃,Sulfuro ácido índico,Hidrogenosulfuro de indio,Tris(hidrogenosulfuro) de indio
Sal ácida,Mn(HS)₃,Sulfuro ácido mangánico,Hidrogenosulfuro de manganeso(III),Tris(hidrogenosulfuro) de manganeso
Sal ácida,Ni(HS)₃,Sulfuro ácido niquélico,Hidrogenosulfuro de níquel(III),Tris(hidrogenosulfuro) de níquel
Sal ácida,Sc(HS)₃,Sulfuro ácido escandico,Hidrogenosulfuro de escandio,Tris(hidrogenosulfuro) de escandio
Sal ácida,Tl(HS)₃,Sulfuro ácido tálico,Hidrogenosulfuro de talio(III),Tris(hidrogenosulfuro) de talio
Sal ácida,V(HS)₃,Sulfuro ácido vanadoso,Hidrogenosulfuro de vanadio(III),Tris(hidrogenosulfuro) de vanadio
Sal ácida,Mn(HS)₄,Sulfuro ácido permangánico,Hidrogenosulfuro de manganeso(IV),Tetrakis(hidrogenosulfuro) de manganeso
Sal ácida,Pb(HS)₄,Sulfuro ácido plúmbico,Hidrogenosulfuro de plomo(IV),Tetrakis(hidrogenosulfuro) de plomo
Sal ácida,Pd(HS)₄,Sulfuro ácido paládico,Hidrogenosulfuro de paladio(IV),Tetrakis(hidrogenosulfuro) de paladio
Sal ácida,Pt(HS)₄,Sulfuro ácido platínico,Hidrogenosulfuro de platino(IV),Tetrakis(hidrogenosulfuro) de platino
Sal ácida,Sn(HS)₄,Sulfuro ácido estánnico,Hidrogenosulfuro de estaño(IV),Tetrakis(hidrogenosulfuro) de estaño
Sal ácida,V(HS)₄,Sulfuro ácido vanádico,Hidrogenosulfuro de vanadio(IV),Tetrakis(hidrogenosulfuro) de vanadio
Sal ácida,V(HS)₅,Sulfuro ácido pervanádico,Hidrogenosulfuro de vanadio(V),Pentakis(hidrogenosulfuro) de vanadio
Sal ácida,Cr(HS)₆,Sulfuro ácido percómico,Hidrogenosulfuro de cromo(VI),Hexakis(hidrogenosulfuro) de cromo
Sal ácida,Ti(HS)₄,Sulfuro ácido titánico,Hidrogenosulfuro de titanio(IV),Tetrakis(hidrogenosulfuro) de titanio
Sal ácida,AgHSe,Seleniuro ácido argéntico,Hidrogenoseleniuro de plata,Hidrogenoseleniuro de plata
Sal ácida,AuHSe,Seleniuro ácido auroso,Hidrogenoseleniuro de oro(I),Hidrogenoseleniuro de oro
Sal ácida,CsHSe,Seleniuro ácido césico,Hidrogenoseleniuro de cesio,Hidrogenoseleniuro de cesio
Sal ácida,CuHSe,Seleniuro ácido cuproso,Hidrogenoseleniuro de cobre(I),Hidrogenoseleniuro de cobre
Sal ácida,FrHSe,Seleniuro ácido fráncico,Hidrogenoseleniuro de francio,Hidrogenoseleniuro de francio
Sal ácida,Hg₂(HSe)₂,Seleniuro ácido mercurioso,Hidrogenoseleniuro de mercurio(I),Bis(hidrogenoseleniuro) de dimercurio
Sal ácida,KHSe,Seleniuro ácido potásico,Hidrogenoseleniuro de potasio,Hidrogenoseleniuro de potasio
Sal ácida,LiHSe,Seleniuro ácido lítico,Hidrogenoseleniuro de litio,Hidrogenoseleniuro de litio
Sal ácida,NaHSe,Seleniuro ácido sódico,Hidrogenoseleniuro de sodio,Hidrogenoseleniuro de sodio
Sal ácida,RbHSe,Seleniuro ácido rubídico,Hidrogenoseleniuro de rubidio,Hidrogenoseleniuro de rubidio
Sal ácida,TlHSe,Seleniuro ácido talioso,Hidrogenoseleniuro de talio(I),Hidrogenoseleniuro de talio
Sal ácida,Ba(HSe)₂,Seleniuro ácido bárico,Hidrogenoseleniuro de bario,Bis(hidrogenoseleniuro) de bario
Sal ácida,Be(HSe)₂,Seleniuro ácido berílico,Hidrogenoseleniuro de berilio,Bis(hidrogenoseleniuro) de berilio
Sal ácida,Ca(HSe)₂,Seleniuro ácido cálcico,Hidrogenoseleniuro de calcio,Bis(hidrogenoseleniuro) de calcio
Sal ácida,Cd(HSe)₂,Seleniuro ácido cádmico,Hidrogenoseleniuro de cadmio,Bis(hidrogenoseleniuro) de cadmio
Sal ácida,Co(HSe)₂,Seleniuro ácido cobaltoso,Hidrogenoseleniuro de cobalto(II),Bis(hidrogenoseleniuro) de cobalto
Sal ácida,Cr(HSe)₂,Seleniuro ácido cromoso,Hidrogenoseleniuro de cromo(II),Bis(hidrogenoseleniuro) de cromo
Sal ácida,Cu(HSe)₂,Seleniuro ácido cúprico,Hidrogenoseleniuro de cobre(II),Bis(hidrogenoseleniuro) de cobre
Sal ácida,Fe(HSe)₂,Seleniuro ácido ferroso,Hidrogenoseleniuro de hierro(II),Bis(hidrogenoseleniuro) de hierro
Sal ácida,Hg(HSe)₂,Seleniuro ácido mercúrico,Hidrogenoseleniuro de mercurio(II),Bis(hidrogenoseleniuro) de mercurio
Sal ácida,Mg(HSe)₂,Seleniuro ácido magnésico,Hidrogenoseleniuro de magnesio,Bis(hidrogenoseleniuro) de magnesio
Sal ácida,Mn(HSe)₂,Seleniuro ácido manganoso,Hidrogenoseleniuro de manganeso(II),Bis(hidrogenoseleniuro) de manganeso
Sal ácida,Ni(HSe)₂,Seleniuro ácido niqueloso,Hidrogenoseleniuro de níquel(II),Bis(hidrogenoseleniuro) de níquel
Sal ácida,Pb(HSe)₂,Seleniuro ácido plumboso,Hidrogenoseleniuro de plomo(II),Bis(hidrogenoseleniuro) de plomo
Sal ácida,Pd(HSe)₂,Seleniuro ácido paladioso,Hidrogenoseleniuro de paladio(II),Bis(hidrogenoseleniuro) de paladio
Sal ácida,Pt(HSe)₂,Seleniuro ácido platinoso,Hidrogenoseleniuro de platino(II),Bis(hidrogenoseleniuro) de platino
Sal ácida,Ra(HSe)₂,Seleniuro ácido radico,Hidrogenoseleniuro de radio,Bis(hidrogenoseleniuro) de radio
Sal ácida,Sn(HSe)₂,Seleniuro ácido estannoso,Hidrogenoseleniuro de estaño(II),Bis(hidrogenoseleniuro) de estaño
Sal ácida,Sr(HSe)₂,Seleniuro ácido estróntico,Hidrogenoseleniuro de estroncio,Bis(hidrogenoseleniuro) de estroncio
Sal ácida,Ti(HSe)₂,Seleniuro ácido hipotitanioso,Hidrogenoseleniuro de titanio(II),Bis(hidrogenoseleniuro) de titanio
Sal ácida,V(HSe)₂,Seleniuro ácido hipovanadoso,Hidrogenoseleniuro de vanadio(II),Bis(hidrogenoseleniuro) de vanadio
Sal ácida,Zn(HSe)₂,Seleniuro ácido cíncico,Hidrogenoseleniuro de cinc,Bis(hidrogenoseleniuro) de cinc
Sal ácida,Al(HSe)₃,Seleniuro ácido alumínico,Hidrogenoseleniuro de aluminio,Tris(hidrogenoseleniuro) de aluminio
Sal ácida,Au(HSe)₃,Seleniuro ácido áurico,Hidrogenoseleniuro de oro(III),Tris(hidrogenoseleniuro) de oro
Sal ácida,Co(HSe)₃,Seleniuro ácido cobáltico,Hidrogenoseleniuro de cobalto(III),Tris(hidrogenoseleniuro) de cobalto
Sal ácida,Cr(HSe)₃,Seleniuro ácido crómico,Hidrogenoseleniuro de cromo(III),Tris(hidrogenoseleniuro) de cromo
